id,name,full_name
401,test,Тестирование как форма и метод управления и контроля над самостоятельной работой студентов: Материалы круглого стола
402,test,Нефтегазовая вертикаль
403,test,Сборник трудов Недели управления проектами в С-П
404,test,Элитный персонал
405,test,"Труды конференции «Образование, наука, производство и управление» (Старый Оскол, 2006)"
406,test,Системы жизнеобеспечения и управления в чрезвычайных ситуациях
407,test,Качество. Инновации. Образование
408,test,"Экономика, статистика и информатика. Вестник УМО"
409,test,Труды 5-й Международной конференции «Когнитивный анализ и управление развитием ситуаций» (CASC’2005)
410,test,"Proceedings of the 3th International Conference on Information Technologies and Telecommunication (Ganja, Azerbaijan, 2007)"
411,test,Научный вестник МИРЭА
412,test,"Труды 25-й Межрегиональной научно-технической конференции «Проблемы эффективности и безопасности функционирования сложных технических и информационных систем» (Серпухов, 2006)"
413,test,Bioinformatics
414,test,"Материалы конференции « Управление и самоуправление в сложных системах» (Москва, 2007)"
415,test,Archives of Control Sciences
416,test,"Материалы 4-й Международной конференции «Когнитивный анализ и управление развитием ситуаций» (CASC-2006, Москва)"
417,test,ЖКХ: журнал руководителя и главного бухгалтера
418,test,"Труды Всероссийской научной конференции «Проблемы формирования государственных политик в России: состояние и перспективы» (Москва, 2006)"
419,test,"IEEE International Conference “Physics and Control” (Potsdam, 2007)"
472,test,Oil&Gaz Journal Russia
420,test,Сборник статей VI Международной научно-практической конференции
421,test,Journal of Applied Probability
422,test,Информационные процессы
423,test,Актуальные аспекты биомедицины
424,test,"Материалы 12-й Международной научной конференции «Системный анализ, управление и навигация» (Евпатория, Украина, 2007)"
425,test,Проблемы прогнозирования
426,test,Studies on Russian Economic Development
427,test,"Труды конференции «Сложные системы управления и менеджмент качества» (Старый Оскол, 2007)"
428,test,Управление инновациями и стратегия инновационного развития России
429,test,Проблемы разработки общероссийской системы оценки качества образования
